Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_EASIQLIFE
"530330001001","530330001001","530330001001, 53033000100, King, Washington","00","53","033","000100","1",,,,133
"530330001002","530330001002","530330001002, 53033000100, King, Washington","00","53","033","000100","2",,,,123
"530330001003","530330001003","530330001003, 53033000100, King, Washington","00","53","033","000100","3",,,,119
"530330001004","530330001004","530330001004, 53033000100, King, Washington","00","53","033","000100","4",,,,124
"530330001005","530330001005","530330001005, 53033000100, King, Washington","00","53","033","000100","5",,,,119
"530330002001","530330002001","530330002001, 53033000200, King, Washington","00","53","033","000200","1",,,,121
"530330002002","530330002002","530330002002, 53033000200, King, Washington","00","53","033","000200","2",,,,119
"530330002003","530330002003","530330002003, 53033000200, King, Washington","00","53","033","000200","3",,,,127
"530330002004","530330002004","530330002004, 53033000200, King, Washington","00","53","033","000200","4",,,,125
"530330002005","530330002005","530330002005, 53033000200, King, Washington","00","53","033","000200","5",,,,121
"530330002006","530330002006","530330002006, 53033000200, King, Washington","00","53","033","000200","6",,,,126
"530330003001","530330003001","530330003001, 53033000300, King, Washington","00","53","033","000300","1",,,,126
"530330003002","530330003002","530330003002, 53033000300, King, Washington","00","53","033","000300","2",,,,122
"530330004011","530330004011","530330004011, 53033000401, King, Washington","00","53","033","000401","1",,,,118
"530330004012","530330004012","530330004012, 53033000401, King, Washington","00","53","033","000401","2",,,,121
"530330004013","530330004013","530330004013, 53033000401, King, Washington","00","53","033","000401","3",,,,124
"530330004021","530330004021","530330004021, 53033000402, King, Washington","00","53","033","000402","1",,,,119
"530330004022","530330004022","530330004022, 53033000402, King, Washington","00","53","033","000402","2",,,,120
"530330004023","530330004023","530330004023, 53033000402, King, Washington","00","53","033","000402","3",,,,129
"530330004024","530330004024","530330004024, 53033000402, King, Washington","00","53","033","000402","4",,,,129
"530330005001","530330005001","530330005001, 53033000500, King, Washington","00","53","033","000500","1",,,,133
"530330005002","530330005002","530330005002, 53033000500, King, Washington","00","53","033","000500","2",,,,127
"530330005003","530330005003","530330005003, 53033000500, King, Washington","00","53","033","000500","3",,,,124
"530330006001","530330006001","530330006001, 53033000600, King, Washington","00","53","033","000600","1",,,,123
"530330006002","530330006002","530330006002, 53033000600, King, Washington","00","53","033","000600","2",,,,122
"530330006003","530330006003","530330006003, 53033000600, King, Washington","00","53","033","000600","3",,,,124
"530330006004","530330006004","530330006004, 53033000600, King, Washington","00","53","033","000600","4",,,,122
"530330006005","530330006005","530330006005, 53033000600, King, Washington","00","53","033","000600","5",,,,125
