Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_ANNEXP,ORG_FOOD,ORG_HOUSING,ORG_APPAREL,ORG_TRANSPORT,ORG_HEALTH,ORG_ENTERTAIN,ORG_PERSCARE,ORG_READING,ORG_EDUCATION,ORG_TOBACCO,ORG_CASCONTR,ORG_PERSINS,ORG_FOOD1,ORG_FOODHOME,ORG_FOODAWAY,ORG_CEREALBAKE,ORG_DAIRY,ORG_FRUITVEG,ORG_NONALBEV,ORG_FOODOUT_C,ORG_FOODOUT,ORG_ALCOHBEV,ORG_HOUSING1,ORG_HOUSEOPER,ORG_HOUSEKEEP,ORG_HOUSEFURN,ORG_HOUSETEXTL,ORG_FURNITURE,ORG_FLOORCOVER,ORG_MAJORAPPL,ORG_SMAPPL,ORG_MISCHHEQ,ORG_APPAREL1,ORG_MENBOYS,ORG_BOYS,ORG_MEN16PLS,ORG_WOMENGRL,ORG_GIRLS,ORG_WOMEN16,ORG_CHILDRN,ORG_FOOTWEAR,ORG_OTHRAPP,ORG_TRANSPORT1,ORG_VEHPURCH,ORG_GAS,ORG_OTHRVEH,ORG_PUBTRANS,ORG_HEALTH1,ORG_HEALTHINS,ORG_MED_SERVE,ORG_DRUGS,ORG_MEDSUPP,ORG_ENTERTAIN1,ORG_FEESADM,ORG_TELERAD,ORG_PETSTOYS,ORG_OTHR_ENT
"530330001001","530330001001","530330001001, 53033000100, King, Washington","00","53","033","000100","1",,,,55420.2,6686.3,17271.8,1827,8261.8,3819.7,2856.4,658.4,82.6,1811.7,198.6,1891.4,8498.8,6686.3,3536.4,3183,446.1,347,727.8,315.7,56.3,382.2,591.2,17271.8,1490.6,236.3,1800.2,88.7,448.8,26.3,271.4,33.6,853.3,1827,443.7,65.4,378.9,742.7,108.4,636.8,52.5,332.5,255.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330001002","530330001002","530330001002, 53033000100, King, Washington","00","53","033","000100","2",,,,35932.5,4918.4,12563.5,1202,5654.2,2723.3,1668.8,453.4,58.6,900.8,216.2,898.9,3797.3,4918.4,2824.5,2079.1,359.1,263.5,570.2,269,29,175,286.2,12563.5,861.3,64.8,1063.9,59,288.7,12.1,149.8,24.5,491.6,1202,269.6,60.1,211.7,466.3,77.9,387.6,59.7,271.1,141.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330001003","530330001003","530330001003, 53033000100, King, Washington","00","53","033","000100","3",,,,53548.6,6846.8,17845.5,1802.7,8142.8,3720.1,2546.9,660.5,80.1,1588,259.4,1550,6999.8,6846.8,3760.3,3089,472.7,354.6,769.4,349.2,47.8,310,493.5,17845.5,1328.2,156.8,1633,83.4,423,21.1,238.5,34.6,765.6,1802.7,426.4,72.4,352.5,707.8,104.8,604.2,68.1,366.6,238.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330001004","530330001004","530330001004, 53033000100, King, Washington","00","53","033","000100","4",,,,42677.9,5827.5,15253.5,1434.3,6757,3149.7,1928.4,551.3,67.6,1018.3,279.4,1024.2,4271,5827.5,3358.4,2444.6,425,309.8,670.7,327.3,32.5,193.7,327.7,15253.5,995.2,67.8,1244.9,69.2,342.2,13.3,176.1,29.8,568.4,1434.3,320.7,73.6,249.7,550.9,89.9,462.7,75.7,328.9,169.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330001005","530330001005","530330001005, 53033000100, King, Washington","00","53","033","000100","5",,,,38664.9,5173.4,13205.7,1312.3,5893.1,2816.2,1800.5,474.1,62,1047.8,195.4,1009.9,4511.5,5173.4,2880.9,2283.1,361.3,268.5,602.4,262.9,33.2,210.8,335.7,13205.7,894.1,85.5,1145.5,61.4,296.1,14.3,159.3,26.2,541.3,1312.3,308.8,44.6,257.5,506.4,68.4,434,53.5,280.6,160.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002001","530330002001","530330002001, 53033000200, King, Washington","00","53","033","000200","1",,,,36436.8,4699.1,11757.2,1200.3,5628.3,2672,1827.6,437.9,56.6,1053.1,160.9,1064.7,4938.4,4699.1,2581.1,2125.4,328.2,247.9,529.9,233.4,34.6,222.3,342.1,11757.2,931.5,107.4,1145.9,59.1,295.5,15.5,168.8,23.3,539.5,1200.3,280.1,52.9,228.4,480.8,80.1,401.4,45.9,243.3,148.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002002","530330002002","530330002002, 53033000200, King, Washington","00","53","033","000200","2",,,,41206.2,5592.5,13797.8,1406.9,6333.7,3102.7,1959.5,492.3,64.7,1211.9,195,1086.7,5007.1,5592.5,3153.4,2434.1,401.8,291.7,666.2,280.2,37.2,232.8,345.4,13797.8,1023.6,100.4,1243.4,66,320.2,15.8,180.8,27.1,587.9,1406.9,331.2,62.9,269.8,547.4,91.5,455,59.9,300.5,169.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002003","530330002003","530330002003, 53033000200, King, Washington","00","53","033","000200","3",,,,59988.2,7805.4,19982.5,2048.7,9163.7,4176.5,2842.8,732.1,89.3,1724.7,278.7,1646.8,7746.4,7805.4,4278.1,3525.9,538.6,401.3,890.9,387,53,346.5,539.5,19982.5,1470.8,159.4,1804.4,92.5,472.2,23.4,260.3,39,842.7,2048.7,486.6,80.8,402.7,801.2,120.4,680.2,82.3,422.4,258.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002004","530330002004","530330002004, 53033000200, King, Washington","00","53","033","000200","4",,,,39896.6,5314,13170.5,1298.4,6243.6,3139.4,1977.7,486.8,66.4,981.4,198.7,1092.5,4834.3,5314,2973.8,2339.2,376.4,283,612.5,272.6,36.4,227.7,350.6,13170.5,942.6,85.2,1252.8,67.3,319.4,15.8,183.1,26.9,592.2,1298.4,305,51.8,249.3,512,75.9,432.9,50.2,277.3,148.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002005","530330002005","530330002005, 53033000200, King, Washington","00","53","033","000200","5",,,,51040.7,6725.4,16937.1,1684.6,7853,3878.4,2520.5,615.5,84.6,1397.4,248.6,1468.7,6298.3,6725.4,3760.7,2962.9,476.2,358.2,775.1,345.3,46.8,295.3,461.2,16937.1,1264.5,143.6,1568.7,84.1,399.4,20.4,230.9,33.3,739.4,1684.6,391.9,67.4,322.5,666.5,101.1,563.8,66.6,349.9,211.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330002006","530330002006","530330002006, 53033000200, King, Washington","00","53","033","000200","6",,,,51147.6,6321.1,16138.6,1682.4,7814.7,3557.5,2605.8,615,75.2,1526.7,203.5,1605.3,7525.3,6321.1,3377.9,2964.9,427.3,330.4,690,304.5,49.8,334.6,519.2,16138.6,1338.4,176.7,1657.6,81.8,421.6,23.4,247.8,32.1,780.7,1682.4,406.9,68.2,339.4,675.8,106.1,572.8,57.4,322.8,218.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330003001","530330003001","530330003001, 53033000300, King, Washington","00","53","033","000300","1",,,,42929.6,5545.6,13836.1,1401.8,6690.7,3205.7,2161.2,513.7,66.9,1153.3,192.6,1254.4,5753.6,5545.6,3051.8,2501.6,388.4,295,627.3,276.2,40.9,263.6,403,13836.1,1085.9,123.2,1364,69.5,343.5,18,205.7,28,646.1,1401.8,333.6,61.2,273.4,559.2,90.7,470.8,52.7,283.8,170.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330003002","530330003002","530330003002, 53033000300, King, Washington","00","53","033","000300","2",,,,49129.5,6291.9,15981,1625.5,7618.4,3495.2,2412.8,599.3,73.2,1383.9,224.3,1401.3,6632.1,6291.9,3434.7,2864.3,434,327.6,703,313.1,45.1,293.4,458.8,15981,1222.9,133.9,1534.5,78.1,399.8,20.4,224.5,31.7,719.6,1625.5,380.6,69.5,310.5,647.2,103.4,544.5,63.5,331.9,200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330004011","530330004011","530330004011, 53033000401, King, Washington","00","53","033","000401","1",,,,95023.8,12861.9,33025.5,3181.2,14698.9,7171.2,4447.3,1187.3,156.1,2481.2,539.5,2470.1,10313.7,12861.9,7325.9,5503.4,925.3,680.7,1496.4,690.7,79.5,484.2,782.6,33025.5,2248.5,199.6,2823.9,155.5,739,33.2,403.4,64.4,1319.3,3181.2,731.3,136.2,592.1,1233.1,185.3,1045.4,142.9,696.2,388.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530330004012","530330004012","530330004012, 53033000401, King, Washington","00","53","033","000401","2",,,,54833.4,6984.1,17923,1818,8410.3,3862.7,2700.8,675.3,83.3,1579.9,255.7,1603.9,7364.1,6984.1,3805.7,3186.2,480.9,367.2,771.8,351.7,49.8,326.9,520,17923,1378.6,154.9,1722.9,88.3,449.8,22.9,250.4,35.5,804.5,1818,431.1,74.8,355.3,718.7,111.2,607.5,69.6,368.1,230.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
