Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_TRANSPORT1,ORG_VEHPURCH,ORG_GAS,ORG_OTHRVEH,ORG_PUBTRANS
"530330024002","530330024002","530330024002, 53033002400, King, Washington","00","53","033","002400","2",,,,5818.6,2308.9,1046.1,1820.9,682
"530330024003","530330024003","530330024003, 53033002400, King, Washington","00","53","033","002400","3",,,,8167.4,3311,1438.8,2535.9,925.5
"530330025001","530330025001","530330025001, 53033002500, King, Washington","00","53","033","002500","1",,,,9981.2,4030.9,1758.6,3119.8,1124.3
"530330025002","530330025002","530330025002, 53033002500, King, Washington","00","53","033","002500","2",,,,10011.2,4008.3,1762.2,3140.6,1184.1
"530330026001","530330026001","530330026001, 53033002600, King, Washington","00","53","033","002600","1",,,,7130.5,2893.1,1296.2,2240.4,716.7
"530330026002","530330026002","530330026002, 53033002600, King, Washington","00","53","033","002600","2",,,,9191.4,3775.7,1607.7,2859,993
"530330026003","530330026003","530330026003, 53033002600, King, Washington","00","53","033","002600","3",,,,9636.4,3860.6,1680.8,3009.5,1179.4
"530330026004","530330026004","530330026004, 53033002600, King, Washington","00","53","033","002600","4",,,,6556.7,2676.4,1172.5,2052.5,677.6
"530330027001","530330027001","530330027001, 53033002700, King, Washington","00","53","033","002700","1",,,,9484.9,3856.6,1732.6,2987.4,927.5
"530330027002","530330027002","530330027002, 53033002700, King, Washington","00","53","033","002700","2",,,,9352.6,3821.1,1616.6,2909.2,1052
"530330027003","530330027003","530330027003, 53033002700, King, Washington","00","53","033","002700","3",,,,7530.9,3046.8,1338.2,2356.6,822.3
"530330027004","530330027004","530330027004, 53033002700, King, Washington","00","53","033","002700","4",,,,10598.7,4261.4,1844.9,3314.6,1254.5
"530330028001","530330028001","530330028001, 53033002800, King, Washington","00","53","033","002800","1",,,,8405.3,3452.6,1518.5,2640.2,810.7
"530330028002","530330028002","530330028002, 53033002800, King, Washington","00","53","033","002800","2",,,,5957.8,2443,1142.4,1891.4,469.2
"530330028003","530330028003","530330028003, 53033002800, King, Washington","00","53","033","002800","3",,,,7175.3,2903.7,1347.7,2278.2,658.6
"530330028004","530330028004","530330028004, 53033002800, King, Washington","00","53","033","002800","4",,,,9196.5,3765.7,1705,2897.3,858.1
"530330029001","530330029001","530330029001, 53033002900, King, Washington","00","53","033","002900","1",,,,8956.2,3691.2,1666.9,2824.2,786.7
"530330029002","530330029002","530330029002, 53033002900, King, Washington","00","53","033","002900","2",,,,10289.3,4248.9,1830,3212.9,1037.6
"530330029003","530330029003","530330029003, 53033002900, King, Washington","00","53","033","002900","3",,,,10065.4,4171.4,1787,3143.7,994
"530330030001","530330030001","530330030001, 53033003000, King, Washington","00","53","033","003000","1",,,,11739.1,4812.6,2098.1,3692.1,1174.5
"530330030002","530330030002","530330030002, 53033003000, King, Washington","00","53","033","003000","2",,,,8837,3632.7,1625.1,2783.3,805.7
"530330030003","530330030003","530330030003, 53033003000, King, Washington","00","53","033","003000","3",,,,9436,3905.4,1758,2980.7,778.1
"530330030004","530330030004","530330030004, 53033003000, King, Washington","00","53","033","003000","4",,,,9226.4,3801.5,1640.3,2879,949.7
"530330031001","530330031001","530330031001, 53033003100, King, Washington","00","53","033","003100","1",,,,7672.9,3158.2,1382.6,2407.6,748.2
"530330031002","530330031002","530330031002, 53033003100, King, Washington","00","53","033","003100","2",,,,7873.5,3287.9,1451.7,2473.1,667.2
"530330031003","530330031003","530330031003, 53033003100, King, Washington","00","53","033","003100","3",,,,8366.7,3422.8,1512,2633.4,820.9
"530330031004","530330031004","530330031004, 53033003100, King, Washington","00","53","033","003100","4",,,,9980.8,4119.1,1734.9,3110,1057.6
"530330031005","530330031005","530330031005, 53033003100, King, Washington","00","53","033","003100","5",,,,9377.9,3868.1,1661.2,2924.9,960.2
"530330032001","530330032001","530330032001, 53033003200, King, Washington","00","53","033","003200","1",,,,6584.4,2705.5,1235.2,2092.3,539.8
"530330032002","530330032002","530330032002, 53033003200, King, Washington","00","53","033","003200","2",,,,8522.6,3457.1,1631.9,2729,683.5
"530330032003","530330032003","530330032003, 53033003200, King, Washington","00","53","033","003200","3",,,,9342.8,3774,1746,2982.7,846.2
"530330032004","530330032004","530330032004, 53033003200, King, Washington","00","53","033","003200","4",,,,8976.9,3615.1,1723.9,2892,768.2
"530330032005","530330032005","530330032005, 53033003200, King, Washington","00","53","033","003200","5",,,,5036,2092.3,915.7,1586.5,436.8
"530330032006","530330032006","530330032006, 53033003200, King, Washington","00","53","033","003200","6",,,,10797.8,4442.2,2038.3,3419,888.3
"530330032007","530330032007","530330032007, 53033003200, King, Washington","00","53","033","003200","7",,,,7911.5,3249,1421.6,2484,771.4
"530330033001","530330033001","530330033001, 53033003300, King, Washington","00","53","033","003300","1",,,,8493.6,3539.7,1565.9,2664.8,699.9
"530330033002","530330033002","530330033002, 53033003300, King, Washington","00","53","033","003300","2",,,,7706.9,3170.1,1419.6,2435,687.6
"530330033003","530330033003","530330033003, 53033003300, King, Washington","00","53","033","003300","3",,,,12741.9,5138.6,2442.4,4081.8,1030.4
"530330033004","530330033004","530330033004, 53033003300, King, Washington","00","53","033","003300","4",,,,8944,3626.6,1658.1,2838.8,807.2
"530330033005","530330033005","530330033005, 53033003300, King, Washington","00","53","033","003300","5",,,,6851.4,2818.6,1269.9,2161.9,603
"530330034001","530330034001","530330034001, 53033003400, King, Washington","00","53","033","003400","1",,,,8120.3,3313,1440.6,2555,843.7
"530330034002","530330034002","530330034002, 53033003400, King, Washington","00","53","033","003400","2",,,,8379.3,3441.2,1509,2636,800
"530330034003","530330034003","530330034003, 53033003400, King, Washington","00","53","033","003400","3",,,,7188.4,2927.7,1305.1,2282.6,688
"530330035001","530330035001","530330035001, 53033003500, King, Washington","00","53","033","003500","1",,,,10301.2,4212.3,1851.2,3235.8,1043.6
"530330035002","530330035002","530330035002, 53033003500, King, Washington","00","53","033","003500","2",,,,10014,4081.9,1821.3,3170.1,975.1
"530330035003","530330035003","530330035003, 53033003500, King, Washington","00","53","033","003500","3",,,,7629.9,3110.8,1404.5,2420.8,686.8
"530330036001","530330036001","530330036001, 53033003600, King, Washington","00","53","033","003600","1",,,,8897,3561.2,1672.1,2820.1,862.5
"530330036002","530330036002","530330036002, 53033003600, King, Washington","00","53","033","003600","2",,,,11036.8,4381,2045.4,3519.6,1114.8
"530330036003","530330036003","530330036003, 53033003600, King, Washington","00","53","033","003600","3",,,,8883.8,3623.1,1582.8,2771.4,934.5
"530330036004","530330036004","530330036004, 53033003600, King, Washington","00","53","033","003600","4",,,,15296.3,6079.2,2831.8,4859.5,1518.1
"530330038001","530330038001","530330038001, 53033003800, King, Washington","00","53","033","003800","1",,,,8044.1,3222.2,1440.7,2535.3,898.7
"530330038002","530330038002","530330038002, 53033003800, King, Washington","00","53","033","003800","2",,,,6395.2,2545.3,1125.7,1990.6,784.2
"530330039001","530330039001","530330039001, 53033003900, King, Washington","00","53","033","003900","1",,,,10692.8,4306.2,1930.6,3333.9,1155.5
"530330039002","530330039002","530330039002, 53033003900, King, Washington","00","53","033","003900","2",,,,7410,2981.4,1279.6,2298.1,924.7
"530330040001","530330040001","530330040001, 53033004000, King, Washington","00","53","033","004000","1",,,,12893.1,5142.5,2367.8,4076.7,1364.8
"530330040002","530330040002","530330040002, 53033004000, King, Washington","00","53","033","004000","2",,,,6169.1,2495.3,1040,1903.2,813.8
"530330041001","530330041001","530330041001, 53033004100, King, Washington","00","53","033","004100","1",,,,9271,3674.8,1705.2,2877.3,1028.1
"530330041002","530330041002","530330041002, 53033004100, King, Washington","00","53","033","004100","2",,,,11359.8,4559.9,1925.5,3517.6,1500.5
"530330041003","530330041003","530330041003, 53033004100, King, Washington","00","53","033","004100","3",,,,9071.8,3675.6,1556.6,2819.2,1128.6
"530330041004","530330041004","530330041004, 53033004100, King, Washington","00","53","033","004100","4",,,,8314.4,3344.7,1457.6,2597.4,978.4
"530330041005","530330041005","530330041005, 53033004100, King, Washington","00","53","033","004100","5",,,,6297.1,2491.7,1117.9,1963.4,832.1
"530330041006","530330041006","530330041006, 53033004100, King, Washington","00","53","033","004100","6",,,,6027.5,2431.1,1000.8,1869.5,801.1
"530330042001","530330042001","530330042001, 53033004200, King, Washington","00","53","033","004200","1",,,,11348.5,4557.7,1947.7,3528.6,1442.4
"530330042002","530330042002","530330042002, 53033004200, King, Washington","00","53","033","004200","2",,,,9756.7,3923.5,1775.5,3071.6,1041.6
"530330042003","530330042003","530330042003, 53033004200, King, Washington","00","53","033","004200","3",,,,10565.4,4231.9,1896.2,3305.2,1184.2
"530330042004","530330042004","530330042004, 53033004200, King, Washington","00","53","033","004200","4",,,,9655.8,3934.1,1694.4,3004.3,1080.4
"530330042005","530330042005","530330042005, 53033004200, King, Washington","00","53","033","004200","5",,,,9588,3936.3,1681.6,2980.4,1036.4
"530330043011","530330043011","530330043011, 53033004301, King, Washington","00","53","033","004301","1",,,,5666.1,2216.3,1099.3,1785,568.6
"530330043012","530330043012","530330043012, 53033004301, King, Washington","00","53","033","004301","2",,,,7608,3098.2,1392.7,2389.4,746.8
"530330043013","530330043013","530330043013, 53033004301, King, Washington","00","53","033","004301","3",,,,7977.9,3190.8,1376.6,2509,971.8
"530330043021","530330043021","530330043021, 53033004302, King, Washington","00","53","033","004302","1",,,,6599.8,2559,1348.4,2079.4,621
"530330043022","530330043022","530330043022, 53033004302, King, Washington","00","53","033","004302","2",,,,7963.5,3047.5,1617.7,2556.4,714
"530330044001","530330044001","530330044001, 53033004400, King, Washington","00","53","033","004400","1",,,,7275.1,2900.5,1289.7,2275.3,887.6
"530330044002","530330044002","530330044002, 53033004400, King, Washington","00","53","033","004400","2",,,,10205.9,4067.2,1870.7,3219.1,1093.9
"530330044003","530330044003","530330044003, 53033004400, King, Washington","00","53","033","004400","3",,,,5544.6,2223.3,1065,1755,489.3
"530330044004","530330044004","530330044004, 53033004400, King, Washington","00","53","033","004400","4",,,,8839.5,3447.9,1770.3,2824.8,753.9
"530330045001","530330045001","530330045001, 53033004500, King, Washington","00","53","033","004500","1",,,,5806.2,2353.8,1047.5,1827,602.2
"530330045002","530330045002","530330045002, 53033004500, King, Washington","00","53","033","004500","2",,,,10365.8,4216.8,1815.1,3250.7,1145.4
"530330046001","530330046001","530330046001, 53033004600, King, Washington","00","53","033","004600","1",,,,7591.6,3065.2,1342.6,2378.7,856
"530330046002","530330046002","530330046002, 53033004600, King, Washington","00","53","033","004600","2",,,,9386.6,3843,1671,2941.9,973.9
"530330046003","530330046003","530330046003, 53033004600, King, Washington","00","53","033","004600","3",,,,5555.1,2259.2,979.7,1736.9,626.7
"530330047001","530330047001","530330047001, 53033004700, King, Washington","00","53","033","004700","1",,,,8138.4,3289,1512.9,2602.8,736.4
"530330047002","530330047002","530330047002, 53033004700, King, Washington","00","53","033","004700","2",,,,9522.8,3846.2,1817.1,3044.7,812.3
"530330047003","530330047003","530330047003, 53033004700, King, Washington","00","53","033","004700","3",,,,19805.2,7980.9,3705,6310.7,1787.9
"530330047004","530330047004","530330047004, 53033004700, King, Washington","00","53","033","004700","4",,,,17358.2,6978,3248.2,5550.7,1559.7
"530330048001","530330048001","530330048001, 53033004800, King, Washington","00","53","033","004800","1",,,,7811.2,3192.3,1381.7,2443,831.7
"530330048002","530330048002","530330048002, 53033004800, King, Washington","00","53","033","004800","2",,,,10166.9,4121.7,1783.4,3196.1,1107.8
"530330048003","530330048003","530330048003, 53033004800, King, Washington","00","53","033","004800","3",,,,7786.1,3175.6,1489.1,2485.4,622.6
"530330048004","530330048004","530330048004, 53033004800, King, Washington","00","53","033","004800","4",,,,7681.3,3154.2,1411.4,2423.8,699.4
"530330049001","530330049001","530330049001, 53033004900, King, Washington","00","53","033","004900","1",,,,8796.6,3512.2,1615.3,2803.1,912
"530330049002","530330049002","530330049002, 53033004900, King, Washington","00","53","033","004900","2",,,,8487.5,3401,1635.4,2735,666.5
"530330049003","530330049003","530330049003, 53033004900, King, Washington","00","53","033","004900","3",,,,11395.7,4583.3,2044.3,3594.8,1212.4
"530330049004","530330049004","530330049004, 53033004900, King, Washington","00","53","033","004900","4",,,,10167.4,4137.4,1895.4,3231.2,887.3
"530330049005","530330049005","530330049005, 53033004900, King, Washington","00","53","033","004900","5",,,,10376,4176,1967.5,3305,939.6
"530330050001","530330050001","530330050001, 53033005000, King, Washington","00","53","033","005000","1",,,,9772.7,3932.1,1793.5,3087.6,995.5
"530330050002","530330050002","530330050002, 53033005000, King, Washington","00","53","033","005000","2",,,,7798.8,3134.4,1378.2,2447.3,880.1
"530330050003","530330050003","530330050003, 53033005000, King, Washington","00","53","033","005000","3",,,,9078.5,3607.8,1760.1,2940.6,742.4
"530330051001","530330051001","530330051001, 53033005100, King, Washington","00","53","033","005100","1",,,,9057.5,3653,1663.9,2858,917.7
"530330051002","530330051002","530330051002, 53033005100, King, Washington","00","53","033","005100","2",,,,9028.4,3696,1535.7,2804.1,1056.2
"530330051003","530330051003","530330051003, 53033005100, King, Washington","00","53","033","005100","3",,,,7762.8,3112.9,1364.1,2438.8,936.5
"530330052001","530330052001","530330052001, 53033005200, King, Washington","00","53","033","005200","1",,,,4681.5,1780.8,926.5,1463.9,475.2
"530330052002","530330052002","530330052002, 53033005200, King, Washington","00","53","033","005200","2",,,,5992,2257.2,1178.5,1867.1,664.7
"530330052003","530330052003","530330052003, 53033005200, King, Washington","00","53","033","005200","3",,,,6502.7,2611.7,1212.8,2046.7,655.1
"530330052004","530330052004","530330052004, 53033005200, King, Washington","00","53","033","005200","4",,,,9486.9,3782.4,1670.6,2975.9,1131.9
"530330052005","530330052005","530330052005, 53033005200, King, Washington","00","53","033","005200","5",,,,7916,3007.3,1544.1,2474.5,881.2
"530330053011","530330053011","530330053011, 53033005301, King, Washington","00","53","033","005301","1",,,,4013.1,1534.7,813.7,1268.3,394.4
"530330053012","530330053012","530330053012, 53033005301, King, Washington","00","53","033","005301","2",,,,10180.1,3851.6,2002.6,3187.3,1115.3
"530330053013","530330053013","530330053013, 53033005301, King, Washington","00","53","033","005301","3",,,,7467.1,2820.5,1500.2,2355.1,775.4
"530330053014","530330053014","530330053014, 53033005301, King, Washington","00","53","033","005301","4",,,,5159.5,1917,1036.6,1592.4,601.6
"530330053021","530330053021","530330053021, 53033005302, King, Washington","00","53","033","005302","1",,,,1749.4,656.5,336,539.3,237.9
"530330053022","530330053022","530330053022, 53033005302, King, Washington","00","53","033","005302","2",,,,161.4,64.4,29,51.7,15.9
"530330053023","530330053023","530330053023, 53033005302, King, Washington","00","53","033","005302","3",,,,23.3,8.7,4.1,7.3,3
"530330054001","530330054001","530330054001, 53033005400, King, Washington","00","53","033","005400","1",,,,8257.6,3391.8,1449.8,2571.7,868.4
"530330054002","530330054002","530330054002, 53033005400, King, Washington","00","53","033","005400","2",,,,11573.6,4658.2,2115.8,3657.7,1145
"530330054003","530330054003","530330054003, 53033005400, King, Washington","00","53","033","005400","3",,,,8747.8,3509.9,1635.5,2782.3,822.5
"530330054004","530330054004","530330054004, 53033005400, King, Washington","00","53","033","005400","4",,,,9794.9,3923.1,1845.6,3112.7,889.5
"530330056001","530330056001","530330056001, 53033005600, King, Washington","00","53","033","005600","1",,,,9461.4,3836.9,1600.8,2938.6,1172.3
"530330056002","530330056002","530330056002, 53033005600, King, Washington","00","53","033","005600","2",,,,9185.3,3738.5,1557.4,2864.9,1101.4
"530330056003","530330056003","530330056003, 53033005600, King, Washington","00","53","033","005600","3",,,,9035.4,3661.5,1524.1,2817.3,1109.1
