Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_DENSITY,ORG_TOT_POP,ORG_TOT_POP1,ORG_URBANPOP,ORG_RURALPOP,ORG_MEDAGE,ORG_HOUSEUNITS,ORG_OCCUNIT,ORG_VACUNIT,ORG_VACUNITRNT,ORG_VACUNITRNO,ORG_VACUNITSAL,ORG_VACUNITSNO,ORG_VACUNITSEA,ORG_VACUNITMIG,ORG_VACUNITOTH,ORG_HOUSEUNITS1,ORG_OOCCHH,ORG_ROCCHH,ORG_HOUSEUNITS2,ORG_S_1D,ORG_S_1A,ORG_S_2,ORG_S_3_4,ORG_S_5_9,ORG_S_10_19,ORG_S_50P,ORG_STRAILER,ORG_SOTHER,ORG_HOUSEUNITS3,ORG_RNTL250,ORG_RNT25L50,ORG_RNT50L75,ORG_RNT75L100,ORG_RNT100L125,ORG_RENTNOCASH,ORG_HOUSEUNITS4,ORG_MORTANY,ORG_NOMORT,ORG_HOUSEUNITS6,ORG_BLT_10P,ORG_BLT_00_09,ORG_BLT_90_99,ORG_BLT_80_89,ORG_BLT_70_79,ORG_BLT_60_69,ORG_BLT_50_59,ORG_BLT_40_49,ORG_BLT_L39,ORG_HOUSEUNITS7,ORG_MOV_10P,ORG_MOV_00_09,ORG_MOV_90_99,ORG_MOV_80_89,ORG_MOV_70_79,ORG_MOV_L69,ORG_AVGHHINC,ORG_EASIDAYPOP,ORG_POP90,ORG_POP00,ORG_POP10,ORG_POP20,ORG_POP25,ORG_HH90,ORG_HH00,ORG_HH10,ORG_HH20,ORG_HH25
"530330001001","530330001001","530330001001, 53033000100, King, Washington","00","53","033","000100","1",,,,4209.9,1454,1454,1454,0,51,659,622,37,3,0,6,8,10,0,10,659,513,109,659,622,0,0,0,0,0,0,0,0,659,0,0,0,0,45,0,513,345,168,659,149,11,1,53,39,59,151,50,146,659,360,70,55,93,19,25,166558,1035,1804,1288,1250,1454,1518,748,525,528,622,652
"530330001002","530330001002","530330001002, 53033000100, King, Washington","00","53","033","000100","2",,,,13004.2,1448,1448,1448,0,33.2,770,703,67,54,1,1,0,1,0,10,770,107,596,770,106,31,34,52,94,44,280,0,0,770,127,0,70,358,41,0,107,82,25,770,158,9,75,111,189,114,75,31,8,770,578,77,28,3,8,9,46998,1004,1056,1327,1234,1448,1510,530,620,591,703,736
"530330001003","530330001003","530330001003, 53033000100, King, Washington","00","53","033","000100","3",,,,11017,1577,1577,1577,0,39.5,879,826,53,35,2,2,2,1,0,11,879,256,570,879,243,53,0,139,53,86,240,0,0,879,103,15,132,187,28,0,256,192,64,879,191,41,178,61,224,84,21,15,64,879,603,130,64,29,0,0,99427,1321,378,619,1337,1577,1649,200,288,691,826,867
"530330001004","530330001004","530330001004, 53033000100, King, Washington","00","53","033","000100","4",,,,35176.5,1717,1717,1717,0,30.8,965,896,69,56,4,5,0,0,0,4,965,51,845,965,54,35,0,28,142,169,173,45,0,965,131,23,375,230,44,16,51,47,4,965,188,25,76,225,161,227,0,32,31,965,767,104,25,0,0,0,42562,1700,1088,1367,1492,1717,1792,607,709,769,896,939
"530330001005","530330001005","530330001005, 53033000100, King, Washington","00","53","033","000100","5",,,,12370.6,1101,1101,1101,0,34.5,744,673,71,67,0,1,1,1,0,1,744,60,613,744,87,0,0,0,26,0,497,0,0,744,14,0,42,262,117,0,60,43,17,744,238,313,89,41,0,0,10,6,47,744,588,76,9,0,0,0,67698,1007,566,929,942,1101,1151,300,431,567,673,707
"530330002001","530330002001","530330002001, 53033000200, King, Washington","00","53","033","000200","1",,,,7990.2,1271,1271,1271,0,39.3,535,509,26,13,1,3,0,3,0,6,535,359,150,535,405,37,0,49,18,0,0,0,0,535,0,0,20,21,0,79,359,264,95,535,122,0,0,134,0,75,109,95,0,535,323,113,30,21,8,14,94847,685,1062,1048,1086,1271,1327,395,442,429,509,534
"530330002002","530330002002","530330002002, 53033000200, King, Washington","00","53","033","000200","2",,,,8328.9,1633,1633,1633,0,37.4,709,671,38,21,2,2,0,1,0,12,709,338,333,709,351,45,12,0,39,44,83,0,0,709,35,0,77,103,43,61,338,219,119,709,200,56,53,53,63,10,132,62,80,709,445,63,44,56,57,6,62816,1330,842,918,1360,1633,1704,356,381,552,671,703
"530330002003","530330002003","530330002003, 53033000200, King, Washington","00","53","033","000200","3",,,,4619.2,1762,1762,1762,0,34.3,969,924,45,32,4,1,1,3,0,4,969,242,682,969,107,36,46,38,68,75,318,13,0,969,14,0,68,368,141,66,242,182,60,969,233,50,72,78,309,107,106,14,0,969,694,143,56,5,26,0,85528,2455,1365,1516,1509,1762,1840,801,793,781,924,969
"530330002004","530330002004","530330002004, 53033000200, King, Washington","00","53","033","000200","4",,,,8375.3,1220,1220,1220,0,45.3,670,635,35,14,0,2,2,5,0,12,670,358,277,670,265,0,0,17,89,48,181,0,0,670,0,0,0,94,183,0,358,194,164,670,137,10,0,61,216,175,59,0,12,670,430,106,33,21,31,14,73626,728,1135,1092,1053,1220,1272,590,554,541,635,665
"530330002005","530330002005","530330002005, 53033000200, King, Washington","00","53","033","000200","5",,,,8348.4,1579,1579,1579,0,42.2,838,809,29,17,1,2,0,2,0,7,838,406,403,838,288,76,12,58,35,71,96,0,0,838,11,51,25,123,87,46,406,271,135,838,196,86,28,146,176,52,41,51,62,838,562,130,31,52,26,8,73627,1199,1236,1372,1324,1579,1646,637,630,669,809,847
